"subject" "activity" "measurement" "measurement_mean"
1 "LAYING" "tGravityAcc-mean()-Y" 0.10249846392
1 "LAYING" "tGravityAcc-mean()-Z" 0.296998943778
1 "LAYING" "tGravityAcc-std()-X" -0.9793977564
1 "LAYING" "tGravityAcc-std()-Y" -0.981783912
1 "LAYING" "tGravityAcc-std()-Z" -0.970258389
1 "LAYING" "tGravityAccMag-mean()" -0.74017521988
1 "LAYING" "tGravityAccMag-std()" -0.77718213242
1 "SITTING" "fBodyAcc-mean()-X" -0.622528717212766
1 "SITTING" "fBodyAcc-mean()-Y" -0.546419039791915
1 "SITTING" "fBodyAcc-mean()-Z" -0.658912259106383
1 "SITTING" "fBodyAcc-std()-X" -0.599173653306383
1 "SITTING" "fBodyAcc-std()-Y" -0.550047056925532
1 "SITTING" "fBodyAcc-std()-Z" -0.590202968048936
1 "SITTING" "fBodyAccJerk-mean()-X" -0.68830067947234
1 "SITTING" "fBodyAccJerk-mean()-Y" -0.638669716659575
1 "SITTING" "fBodyAccJerk-mean()-Z" -0.765917141914894
1 "SITTING" "fBodyAccJerk-std()-X" -0.657757839148936
1 "SITTING" "fBodyAccJerk-std()-Y" -0.601305391191489
1 "SITTING" "fBodyAccJerk-std()-Z" -0.793357348085106
1 "SITTING" "fBodyAccMag-mean()" -0.621369621531915
1 "SITTING" "fBodyAccMag-std()" -0.689249934595745
1 "SITTING" "fBodyBodyAccJerkMag-mean()" -0.655800089361702
1 "SITTING" "fBodyBodyAccJerkMag-std()" -0.676231232489362
1 "SITTING" "fBodyBodyGyroJerkMag-mean()" -0.785555455319149
1 "SITTING" "fBodyBodyGyroJerkMag-std()" -0.797933404255319
1 "SITTING" "fBodyBodyGyroMag-mean()" -0.72725606212766
1 "SITTING" "fBodyBodyGyroMag-std()" -0.754167042765957
1 "SITTING" "fBodyGyro-mean()-X" -0.688041840829787
1 "SITTING" "fBodyGyro-mean()-Y" -0.711441129361702
1 "SITTING" "fBodyGyro-mean()-Z" -0.678488236191489
1 "SITTING" "fBodyGyro-std()-X" -0.753504057659575
1 "SITTING" "fBodyGyro-std()-Y" -0.702432633829787
1 "SITTING" "fBodyGyro-std()-Z" -0.696423313510638
1 "SITTING" "tBodyAcc-mean()-X" 0.269012626595745
1 "SITTING" "tBodyAcc-mean()-Y" -0.0250474137889362
1 "SITTING" "tBodyAcc-mean()-Z" -0.112269698340426
1 "SITTING" "tBodyAcc-std()-X" -0.605072574957447
1 "SITTING" "tBodyAcc-std()-Y" -0.528673138834043
1 "SITTING" "tBodyAcc-std()-Z" -0.592332964538298
1 "SITTING" "tBodyAccJerk-mean()-X" 0.115195219021277
1 "SITTING" "tBodyAccJerk-mean()-Y" -0.00821495012340426
1 "SITTING" "tBodyAccJerk-mean()-Z" -0.0206011061553191
1 "SITTING" "tBodyAccJerk-std()-X" -0.657973416510638
1 "SITTING" "tBodyAccJerk-std()-Y" -0.60813007422766
1 "SITTING" "tBodyAccJerk-std()-Z" -0.780415603191489
1 "SITTING" "tBodyAccJerkMag-mean()" -0.657305847848936
1 "SITTING" "tBodyAccJerkMag-std()" -0.662963456914894
1 "SITTING" "tBodyAccMag-mean()" -0.541386178744681
1 "SITTING" "tBodyAccMag-std()" -0.627427930587234
1 "SITTING" "tBodyGyro-mean()-X" -0.0263653147446809
1 "SITTING" "tBodyGyro-mean()-Y" -0.078856361106383
1 "SITTING" "tBodyGyro-mean()-Z" 0.0677868367446808
1 "SITTING" "tBodyGyro-std()-X" -0.736846077297872
1 "SITTING" "tBodyGyro-std()-Y" -0.704145407446809
1 "SITTING" "tBodyGyro-std()-Z" -0.66851003083617
1 "SITTING" "tBodyGyroJerk-mean()-X" -0.0714186866042553
1 "SITTING" "tBodyGyroJerk-mean()-Y" -0.0568619262234043
1 "SITTING" "tBodyGyroJerk-mean()-Z" -0.0771913698042553
1 "SITTING" "tBodyGyroJerk-std()-X" -0.748525239382979
1 "SITTING" "tBodyGyroJerk-std()-Y" -0.780778373829787
1 "SITTING" "tBodyGyroJerk-std()-Z" -0.780435071702128
1 "SITTING" "tBodyGyroJerkMag-mean()" -0.768924739787234
1 "SITTING" "tBodyGyroJerkMag-std()" -0.783709292340426
1 "SITTING" "tBodyGyroMag-mean()" -0.620291599808511
1 "SITTING" "tBodyGyroMag-std()" -0.712331654680851
1 "SITTING" "tGravityAcc-mean()-X" 0.740163378085106
1 "SITTING" "tGravityAcc-mean()-Y" -0.0259185060212766
1 "SITTING" "tGravityAcc-mean()-Z" -0.00477216540425532
1 "SITTING" "tGravityAcc-std()-X" -0.971122777234043
1 "SITTING" "tGravityAcc-std()-Y" -0.953952972978723
1 "SITTING" "tGravityAcc-std()-Z" -0.936907703191489
1 "SITTING" "tGravityAccMag-mean()" -0.541386178744681
1 "SITTING" "tGravityAccMag-std()" -0.627427930587234
1 "STANDING" "fBodyAcc-mean()-X" -0.74683198545283
1 "STANDING" "fBodyAcc-mean()-Y" -0.700636088188679
1 "STANDING" "fBodyAcc-mean()-Z" -0.777186378811321
1 "STANDING" "fBodyAcc-std()-X" -0.699671048415094
1 "STANDING" "fBodyAcc-std()-Y" -0.680921094886792
1 "STANDING" "fBodyAcc-std()-Z" -0.747719881698113
1 "STANDING" "fBodyAccJerk-mean()-X" -0.798736911962264
1 "STANDING" "fBodyAccJerk-mean()-Y" -0.779283733679245
1 "STANDING" "fBodyAccJerk-mean()-Z" -0.834136843018868
1 "STANDING" "fBodyAccJerk-std()-X" -0.788438229603774
1 "STANDING" "fBodyAccJerk-std()-Y" -0.761856298796226
1 "STANDING" "fBodyAccJerk-std()-Z" -0.858505331509434
1 "STANDING" "fBodyAccMag-mean()" -0.699652011177359
1 "STANDING" "fBodyAccMag-std()" -0.705874728301887
1 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.775124539735849
1 "STANDING" "fBodyBodyAccJerkMag-std()" -0.774572156943396
1 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.870281481886792
1 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.870935564716981
1 "STANDING" "fBodyBodyGyroMag-mean()" -0.816660093018868
1 "STANDING" "fBodyBodyGyroMag-std()" -0.817114442641509
1 "STANDING" "fBodyGyro-mean()-X" -0.763614574603774
1 "STANDING" "fBodyGyro-mean()-Y" -0.845075476415094
1 "STANDING" "fBodyGyro-mean()-Z" -0.781579262981132
1 "STANDING" "fBodyGyro-std()-X" -0.831510318867924
1 "STANDING" "fBodyGyro-std()-Y" -0.838171155660377
1 "STANDING" "fBodyGyro-std()-Z" -0.80907733245283
1 "STANDING" "tBodyAcc-mean()-X" 0.28672561575283
1 "STANDING" "tBodyAcc-mean()-Y" -0.0142348174188679
1 "STANDING" "tBodyAcc-mean()-Z" -0.132934217641509
1 "STANDING" "tBodyAcc-std()-X" -0.711853163584906
1 "STANDING" "tBodyAcc-std()-Y" -0.673406110426415
1 "STANDING" "tBodyAcc-std()-Z" -0.743826728358491
1 "STANDING" "tBodyAccJerk-mean()-X" 0.0964498658867925
1 "STANDING" "tBodyAccJerk-mean()-Y" -0.00341696052603774
1 "STANDING" "tBodyAccJerk-mean()-Z" -0.0331257051371698
1 "STANDING" "tBodyAccJerk-std()-X" -0.78404992209434
1 "STANDING" "tBodyAccJerk-std()-Y" -0.763356953886792
1 "STANDING" "tBodyAccJerk-std()-Z" -0.846938581886792
1 "STANDING" "tBodyAccJerkMag-mean()" -0.78802052905283
1 "STANDING" "tBodyAccJerkMag-std()" -0.773984302430189
1 "STANDING" "tBodyAccMag-mean()" -0.659758309962264
1 "STANDING" "tBodyAccMag-std()" -0.669268101698113
1 "STANDING" "tBodyGyro-mean()-X" 0.00138887106792453
1 "STANDING" "tBodyGyro-mean()-Y" -0.087357378745283
1 "STANDING" "tBodyGyro-mean()-Z" 0.130901819245283
1 "STANDING" "tBodyGyro-std()-X" -0.814253742830189
1 "STANDING" "tBodyGyro-std()-Y" -0.839397165660377
1 "STANDING" "tBodyGyro-std()-Z" -0.786841063207547
1 "STANDING" "tBodyGyroJerk-mean()-X" -0.128134841207547
1 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0535501074613208
1 "STANDING" "tBodyGyroJerk-mean()-Z" -0.070931553745283
1 "STANDING" "tBodyGyroJerk-std()-X" -0.796072732996226
1 "STANDING" "tBodyGyroJerk-std()-Y" -0.887499793773585
1 "STANDING" "tBodyGyroJerk-std()-Z" -0.842811437358491
1 "STANDING" "tBodyGyroJerkMag-mean()" -0.856811636226415
1 "STANDING" "tBodyGyroJerkMag-std()" -0.866562889811321
1 "STANDING" "tBodyGyroMag-mean()" -0.747806100037736
1 "STANDING" "tBodyGyroMag-std()" -0.795101090188679
1 "STANDING" "tGravityAcc-mean()-X" 0.545388943773585
1 "STANDING" "tGravityAcc-mean()-Y" 0.207547493924528
1 "STANDING" "tGravityAcc-mean()-Z" 0.214534443941509
1 "STANDING" "tGravityAcc-std()-X" -0.943138106792453
1 "STANDING" "tGravityAcc-std()-Y" -0.947154019433962
1 "STANDING" "tGravityAcc-std()-Z" -0.881238906603774
1 "STANDING" "tGravityAccMag-mean()" -0.659758309962264
1 "STANDING" "tGravityAccMag-std()" -0.669268101698113
1 "WALKING" "fBodyAcc-mean()-X" -0.202794306326316
1 "WALKING" "fBodyAcc-mean()-Y" 0.0897127264021053
1 "WALKING" "fBodyAcc-mean()-Z" -0.331560117789474
1 "WALKING" "fBodyAcc-std()-X" -0.319134719578947
1 "WALKING" "fBodyAcc-std()-Y" 0.056040006846
1 "WALKING" "fBodyAcc-std()-Z" -0.279686751494737
1 "WALKING" "fBodyAccJerk-mean()-X" -0.170546964549579
1 "WALKING" "fBodyAccJerk-mean()-Y" -0.0352255241130632
1 "WALKING" "fBodyAccJerk-mean()-Z" -0.468999224631579
1 "WALKING" "fBodyAccJerk-std()-X" -0.133586606326316
1 "WALKING" "fBodyAccJerk-std()-Y" 0.106739857136
1 "WALKING" "fBodyAccJerk-std()-Z" -0.534713440421053
1 "WALKING" "fBodyAccMag-mean()" -0.128623450629474
1 "WALKING" "fBodyAccMag-std()" -0.398032586842105
1 "WALKING" "fBodyBodyAccJerkMag-mean()" -0.0571194000343158
1 "WALKING" "fBodyBodyAccJerkMag-std()" -0.103492403002105
1 "WALKING" "fBodyBodyGyroJerkMag-mean()" -0.319308593778947
1 "WALKING" "fBodyBodyGyroJerkMag-std()" -0.381601911789474
1 "WALKING" "fBodyBodyGyroMag-mean()" -0.199252568986316
1 "WALKING" "fBodyBodyGyroMag-std()" -0.321017953894737
1 "WALKING" "fBodyGyro-mean()-X" -0.339032197115789
1 "WALKING" "fBodyGyro-mean()-Y" -0.103059416434737
1 "WALKING" "fBodyGyro-mean()-Z" -0.255940940315789
1 "WALKING" "fBodyGyro-std()-X" -0.516691938736842
1 "WALKING" "fBodyGyro-std()-Y" -0.0335081597884211
1 "WALKING" "fBodyGyro-std()-Z" -0.436562227473684
1 "WALKING" "tBodyAcc-mean()-X" 0.277330758736842
1 "WALKING" "tBodyAcc-mean()-Y" -0.0173838185273684
1 "WALKING" "tBodyAcc-mean()-Z" -0.111148103547368
1 "WALKING" "tBodyAcc-std()-X" -0.283740258842105
1 "WALKING" "tBodyAcc-std()-Y" 0.114461336747368
1 "WALKING" "tBodyAcc-std()-Z" -0.260027902210526
1 "WALKING" "tBodyAccJerk-mean()-X" 0.0740416333157895
1 "WALKING" "tBodyAccJerk-mean()-Y" 0.0282721095884211
1 "WALKING" "tBodyAccJerk-mean()-Z" -0.00416840617789474
1 "WALKING" "tBodyAccJerk-std()-X" -0.113615602435789
1 "WALKING" "tBodyAccJerk-std()-Y" 0.0670025007684211
1 "WALKING" "tBodyAccJerk-std()-Z" -0.502699788526316
1 "WALKING" "tBodyAccJerkMag-mean()" -0.141428809031579
1 "WALKING" "tBodyAccJerkMag-std()" -0.0744717500625263
1 "WALKING" "tBodyAccMag-mean()" -0.136971176556842
1 "WALKING" "tBodyAccMag-std()" -0.219688645631579
1 "WALKING" "tBodyGyro-mean()-X" -0.041830963526
1 "WALKING" "tBodyGyro-mean()-Y" -0.0695300462115789
1 "WALKING" "tBodyGyro-mean()-Z" 0.0849448173042105
1 "WALKING" "tBodyGyro-std()-X" -0.473535485894737
1 "WALKING" "tBodyGyro-std()-Y" -0.0546077686594737
1 "WALKING" "tBodyGyro-std()-Z" -0.344266629473684
1 "WALKING" "tBodyGyroJerk-mean()-X" -0.0899975423705263
1 "WALKING" "tBodyGyroJerk-mean()-Y" -0.0398428709463158
1 "WALKING" "tBodyGyroJerk-mean()-Z" -0.0461309295021053
1 "WALKING" "tBodyGyroJerk-std()-X" -0.207421854757895
1 "WALKING" "tBodyGyroJerk-std()-Y" -0.304468510631579
1 "WALKING" "tBodyGyroJerk-std()-Z" -0.404255452631579
1 "WALKING" "tBodyGyroJerkMag-mean()" -0.298703679084211
1 "WALKING" "tBodyGyroJerkMag-std()" -0.325324878894737
1 "WALKING" "tBodyGyroMag-mean()" -0.160979552536842
1 "WALKING" "tBodyGyroMag-std()" -0.186978364526316
1 "WALKING" "tGravityAcc-mean()-X" 0.935223201473684
1 "WALKING" "tGravityAcc-mean()-Y" -0.282165021263158
1 "WALKING" "tGravityAcc-mean()-Z" -0.068102864
1 "WALKING" "tGravityAcc-std()-X" -0.976609642526316
1 "WALKING" "tGravityAcc-std()-Y" -0.971305961473684
1 "WALKING" "tGravityAcc-std()-Z" -0.947717226105263
1 "WALKING" "tGravityAccMag-mean()" -0.136971176556842
1 "WALKING" "tGravityAccMag-std()" -0.219688645631579
1 "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-X" -0.759652018591837
1 "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-Y" -0.655579968204082
1 "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-Z" -0.700358092571429
1 "WALKING_DOWNSTAIRS" "fBodyAcc-std()-X" -0.732445708469388
1 "WALKING_DOWNSTAIRS" "fBodyAcc-std()-Y" -0.618519587142857
1 "WALKING_DOWNSTAIRS" "fBodyAcc-std()-Z" -0.612961999408163
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-X" -0.79158693
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-Y" -0.747827977183673
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-Z" -0.792960536795918
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-X" -0.790177734285714
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-Y" -0.747477732244898
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-Z" -0.826902423265306
1 "WALKING_DOWNSTAIRS" "fBodyAccMag-mean()" -0.717422237036735
1 "WALKING_DOWNSTAIRS" "fBodyAccMag-std()" -0.745447756428571
1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag-mean()" -0.76120003677551
1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag-std()" -0.774674118157143
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag-mean()" -0.866302598979592
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag-std()" -0.88438035877551
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag-mean()" -0.773113245081633
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag-std()" -0.751152710204082
1 "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-X" -0.785359531428571
1 "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-Y" -0.760610182959184
1 "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-Z" -0.744445589387755
1 "WALKING_DOWNSTAIRS" "fBodyGyro-std()-X" -0.808144943673469
1 "WALKING_DOWNSTAIRS" "fBodyGyro-std()-Y" -0.693043599734694
1 "WALKING_DOWNSTAIRS" "fBodyGyro-std()-Z" -0.719226654693878
1 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.281546905163265
1 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.013919829077551
1 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Z" -0.114396246040816
1 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-X" -0.739520901946939
1 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Y" -0.613838427283673
1 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Z" -0.622918038440204
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-X" 0.0784853913918367
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Y" -0.0175964897540816
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Z" -0.00871487377081633
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-X" -0.781323345367347
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-Y" -0.738730286938776
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-Z" -0.810462397346939
1 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag-mean()" -0.761604894897959
1 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag-std()" -0.766416402416327
1 "WALKING_DOWNSTAIRS" "tBodyAccMag-mean()" -0.652618691238571
1 "WALKING_DOWNSTAIRS" "tBodyAccMag-std()" -0.706045321489796
1 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-X" -0.0441035854159184
1 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Y" -0.0708640233265306
1 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Z" 0.0806412100571429
1 "WALKING_DOWNSTAIRS" "tBodyGyro-std()-X" -0.801218178367347
1 "WALKING_DOWNSTAIRS" "tBodyGyro-std()-Y" -0.714700200061224
1 "WALKING_DOWNSTAIRS" "tBodyGyro-std()-Z" -0.703084094489796
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-X" -0.104612930714286
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-Y" -0.0240492944289796
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-Z" -0.0367499663612245
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-std()-X" -0.842970513061225
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-std()-Y" -0.853959558979592
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-std()-Z" -0.84094767122449
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag-mean()" -0.841883445714286
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag-std()" -0.869903700612245
1 "WALKING_DOWNSTAIRS" "tBodyGyroMag-mean()" -0.673105278979592
1 "WALKING_DOWNSTAIRS" "tBodyGyroMag-std()" -0.732072323673469
1 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-X" 0.690269932612245
1 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Y" 0.018608479877551
1 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Z" -0.191195706510204
1 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-X" -0.978059783061224
1 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-Y" -0.961967224897959
1 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-Z" -0.960311110816327
1 "WALKING_DOWNSTAIRS" "tGravityAccMag-mean()" -0.652618691238571
1 "WALKING_DOWNSTAIRS" "tGravityAccMag-std()" -0.706045321489796
1 "WALKING_UPSTAIRS" "fBodyAcc-mean()-X" -0.483266082754717
1 "WALKING_UPSTAIRS" "fBodyAcc-mean()-Y" -0.34496234299434
1 "WALKING_UPSTAIRS" "fBodyAcc-mean()-Z" -0.538710272603774
1 "WALKING_UPSTAIRS" "fBodyAcc-std()-X" -0.498648715056604
1 "WALKING_UPSTAIRS" "fBodyAcc-std()-Y" -0.333254685622641
1 "WALKING_UPSTAIRS" "fBodyAcc-std()-Z" -0.456721858301887
1 "WALKING_UPSTAIRS" "fBodyAccJerk-mean()-X" -0.531476675622642
1 "WALKING_UPSTAIRS" "fBodyAccJerk-mean()-Y" -0.487346526830189
1 "WALKING_UPSTAIRS" "fBodyAccJerk-mean()-Z" -0.666610213943396
1 "WALKING_UPSTAIRS" "fBodyAccJerk-std()-X" -0.552232894396226
1 "WALKING_UPSTAIRS" "fBodyAccJerk-std()-Y" -0.48794890409434
1 "WALKING_UPSTAIRS" "fBodyAccJerk-std()-Z" -0.732417313226415
1 "WALKING_UPSTAIRS" "fBodyAccMag-mean()" -0.480791268849057
1 "WALKING_UPSTAIRS" "fBodyAccMag-std()" -0.615345427584906
1 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag-mean()" -0.511685142967925
1 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag-std()" -0.602360915169811
1 "WALKING_UPSTAIRS" "fBodyBodyGyroJerkMag-mean()" -0.71670106454717
1 "WALKING_UPSTAIRS" "fBodyBodyGyroJerkMag-std()" -0.760749313943396
1 "WALKING_UPSTAIRS" "fBodyBodyGyroMag-mean()" -0.585666095049057
1 "WALKING_UPSTAIRS" "fBodyBodyGyroMag-std()" -0.562238232839623
1 "WALKING_UPSTAIRS" "fBodyGyro-mean()-X" -0.561748728490566
1 "WALKING_UPSTAIRS" "fBodyGyro-mean()-Y" -0.574832821507547
1 "WALKING_UPSTAIRS" "fBodyGyro-mean()-Z" -0.475236690377358
1 "WALKING_UPSTAIRS" "fBodyGyro-std()-X" -0.620037595169811
1 "WALKING_UPSTAIRS" "fBodyGyro-std()-Y" -0.549686559256604
1 "WALKING_UPSTAIRS" "fBodyGyro-std()-Z" -0.508136742762264
1 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.287697098867925
1 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0186713145792453
1 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.117179843113208
1 "WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.492558320716981
1 "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" -0.307063712679245
1 "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.454487619056604
1 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-X" 0.113493517373585
1 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-Y" -0.00663394985471698
1 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-Z" -0.00563140234943396
1 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-X" -0.519863985754717
1 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-Y" -0.469782076773585
1 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-Z" -0.699959255192453
1 "WALKING_UPSTAIRS" "tBodyAccJerkMag-mean()" -0.521344331320755
1 "WALKING_UPSTAIRS" "tBodyAccJerkMag-std()" -0.547225256007547
1 "WALKING_UPSTAIRS" "tBodyAccMag-mean()" -0.387746934169811
1 "WALKING_UPSTAIRS" "tBodyAccMag-std()" -0.516047130075472
1 "WALKING_UPSTAIRS" "tBodyGyro-mean()-X" 0.00645491520754717
1 "WALKING_UPSTAIRS" "tBodyGyro-mean()-Y" -0.1171539842
1 "WALKING_UPSTAIRS" "tBodyGyro-mean()-Z" 0.0766378991830189
1 "WALKING_UPSTAIRS" "tBodyGyro-std()-X" -0.602848080339623
1 "WALKING_UPSTAIRS" "tBodyGyro-std()-Y" -0.553910017184906
1 "WALKING_UPSTAIRS" "tBodyGyro-std()-Z" -0.460161542184906
1 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean()-X" -0.111090143383019
1 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean()-Y" -0.00923086433773585
1 "WALKING_UPSTAIRS" "tBodyGyroJerk-mean()-Z" -0.0194068979075472
1 "WALKING_UPSTAIRS" "tBodyGyroJerk-std()-X" -0.671251850188679
1 "WALKING_UPSTAIRS" "tBodyGyroJerk-std()-Y" -0.708479697723396
1 "WALKING_UPSTAIRS" "tBodyGyroJerk-std()-Z" -0.673852507924528
1 "WALKING_UPSTAIRS" "tBodyGyroJerkMag-mean()" -0.684387923301887
